"","Datetime","ID","Text","Language"
"1","Tue Feb 13 07:30:01 +0000 2018","oskaro66","#fabulous #shooting with #incredible #Amethyst. #London #Portrait #photography 
#atmosphere #studio #mood… https://t.co/ZFKhwGtWpD","en"
"2","Tue Feb 13 07:33:32 +0000 2018","GLobVikToriUSA","#2A
#ArT
#Law
#MAGA
#PatrioT
#ArTisTS
#TrumpTrain
NOW OUR LiON
ROARiNG iN WH!
#SUPERHERO #TRUMP

NEW US Gov By
WE G… https://t.co/oMH8XTqK5C","en"
"3","Tue Feb 13 07:35:03 +0000 2018","AR15TacA","RP9 Torture Test! <U+0096> #gunreviews https://t.co/xzW9lsci8e","en"
"4","Tue Feb 13 07:44:45 +0000 2018","whatasuprememe","SAVE MEEE code is hard harambe dead meme DONKEYKONG im dead fam #guns #HELP ketchup amirite 15 TV","en"
"5","Tue Feb 13 08:00:18 +0000 2018","MilitaryNewsD","Shooting M32 Grenade Launchers | Kirsten Joy Weiss &amp; The Gunny (R Lee Ermey) <U+0096> #gunreviews https://t.co/a9gI3Z5W7A","en"
"6","Tue Feb 13 08:16:20 +0000 2018","dianawaddell75","RT @krassenstein: Just a friendly reminder... People with pre-existing mental health conditions have access to firearms but not healthcare.","en"
"7","Tue Feb 13 08:30:10 +0000 2018","DeltaTacUSAa","Basic AR15 / M4 Duty and Professional use setup <U+0096> #gunreviews https://t.co/SUQ5T3Sei7","en"
"8","Tue Feb 13 08:30:10 +0000 2018","GunRightsD","The Powerful 6.8spc Round vs. MEAT &amp; BONE [ GY6 Ballistic Test #36 ] <U+0096> #gunreviews https://t.co/UjojPZflA4","en"
"9","Tue Feb 13 08:32:01 +0000 2018","i_m_Monu","Attitude is the best part of ur personality, never let it go..
. . .
.
.

#shooting #photography… https://t.co/49nGBm5tgi","en"
"10","Tue Feb 13 09:00:20 +0000 2018","MilitaryProudE","Why I Said No To America<U+0092>s Got Talent <U+0096> #gunreviews https://t.co/yhH1i17ZDe","en"
"11","Tue Feb 13 09:00:57 +0000 2018","GUNFRIENDLY_SA","RT @Paratus2014: @SECTION27news @got_tuck @GunFreeSA @endGBV @MbalulaFikile @endgunviolence @SoulCity_SA @loveLifeNGO Also, just like GFSA…","en"
"12","Tue Feb 13 09:32:26 +0000 2018","quackerwhackr91","RT @AlanStump1: @realfacade1 The #NRA does not hand out guns. They promote gun safety and education.","en"
"13","Tue Feb 13 09:33:59 +0000 2018","Kate_Is_Rising","RT @garyvfoss: If I'm killed in a mass shooting at a car wash (or anywhere else) please feel free to politicize my death. - https://t.co/eH…","en"
"14","Tue Feb 13 09:52:38 +0000 2018","LiveInHope13","RT @firearmsWMP: Happy Tuesday folks, have a great &amp; safe day, the #FOU is here 24 / 7 365 to #Prevent #Protect #Help https://t.co/x8K7eg3h…","en"
"15","Tue Feb 13 10:02:55 +0000 2018","Jtbro2","@IvankaTrump @DonaldJTrumpJr @MrsVanessaTrump As i understand it gun violence is a big problem in the USA. So DOTUS… https://t.co/tGH9zlDM10","en"
"16","Tue Feb 13 10:09:35 +0000 2018","olugezigezi","@nilepostnews @nbstv I see knives and some ammo where are the firearms?","en"
"17","Tue Feb 13 10:18:06 +0000 2018","RyanMcD_CRNA","RT @CatoInstitute: Over the last 25 years, the U.S. gun homicide rate has fallen by over half while the gun violence victimization rate has…","en"
"18","Tue Feb 13 10:45:18 +0000 2018","fmgunma_oa","<U+300C>7 SECONDS<U+300D> YOUSSOU N'DOUR &amp; NENEH CHERRY #gunma_onair #nowplaying","en"
"19","Tue Feb 13 11:04:14 +0000 2018","kalima_taz","I just entered to win a Steyr Aug A3 #rifle from @ClassicFirearm #gungiveaway #winagun #steyr #aug #dreamgun… https://t.co/iIADEw5EgW","en"
"20","Tue Feb 13 11:07:46 +0000 2018","MikePane5","I just entered to win a Steyr Aug A3 #rifle from @ClassicFirearm #gungiveaway #winagun #steyr #aug #dreamgun… https://t.co/ZEIAuscB9m","en"
"21","Tue Feb 13 11:19:36 +0000 2018","MammaLon","Wait what? This is #gunsense protecting your children is your responsibility. Let me guess you will defend your chi… https://t.co/r1FuD7azUW","en"
"22","Tue Feb 13 11:25:13 +0000 2018","kudda1221","I just entered to win a Steyr Aug A3 #rifle from @ClassicFirearm #gungiveaway #winagun #steyr #aug #dreamgun… https://t.co/1EygJwDNlE","en"
"23","Tue Feb 13 11:30:14 +0000 2018","MilitaryProudE","How to paint your AR-15 <U+0096> #gunreviews https://t.co/1PauVvV1QA","en"
"24","Tue Feb 13 11:31:12 +0000 2018","clthames_smith","RT @Tactical_review: Which is responsible for more deaths each year in the US?

Comment with your thoughts after you vote, and RT.

#gunsen…","en"
"25","Tue Feb 13 11:41:10 +0000 2018","MartyChristia13","I just entered to win a Steyr Aug A3 #rifle from @ClassicFirearm #gungiveaway #winagun #steyr #aug #dreamgun… https://t.co/co4BrZkFc1","en"
"26","Tue Feb 13 11:50:05 +0000 2018","AR15TacticalA","FN 509 First Range Session and Initial Thoughts! <U+0096> #gunreviews https://t.co/NBCZmeOdF5","en"
"27","Tue Feb 13 11:50:05 +0000 2018","AlphaBravoA1","REAL FIRING STAR WARS BLASTER! WORLD RECORD 6 shots in 0.8 seconds with Han Solo<U+0092>s DL-44! <U+0096> #gunreviews https://t.co/cserkbfScm","en"
"28","Tue Feb 13 11:56:23 +0000 2018","unnikannan573","RT @kavikumar: #Action
#ChiyaanVikram in
#dhuruvanatchathiram
#shooting 
Teser
#YouTube Official Link
#teser 1 #youtubers
https://t.co/Zuf1…","en"
"29","Tue Feb 13 12:04:37 +0000 2018","RebekahSafford","I just entered to win a Steyr Aug A3 #rifle from @ClassicFirearm #gungiveaway #winagun #steyr #aug #dreamgun 1#spac… https://t.co/18zbCXeXow","en"
"30","Tue Feb 13 12:09:12 +0000 2018","hmoshontz","RT @elizvanbrocklin: I spent 8 months reporting on gun violence survivors’ experiences with the state programs that pay out millions of dol…","en"
"31","Tue Feb 13 12:24:32 +0000 2018","IRBroadshow","RT @MillenPolitics: Her son was killed over “loud music”, &amp; she’s been on the front lines of the gun control debate as an outspoken activis…","en"
"32","Tue Feb 13 12:35:06 +0000 2018","TacReviewC","Shooting A Fidget Spinner!? <U+0096> A New Way To Spin | Trick Shots <U+0096> #gunreviews https://t.co/czubD7Y6kg","en"
"33","Tue Feb 13 12:46:06 +0000 2018","Drfranknstoner","I just entered to win a Steyr Aug A3 #rifle from @ClassicFirearm #gungiveaway #winagun #steyr #aug #dreamgun… https://t.co/Kqj3k9IlEq","en"
"34","Tue Feb 13 12:55:38 +0000 2018","bpschwingel","I just entered to win a Steyr Aug A3 #rifle from @ClassicFirearm #gungiveaway #winagun #steyr #aug #dreamgun… https://t.co/VnHAwVaUHW","en"
"35","Tue Feb 13 13:02:36 +0000 2018","LivelyMissLogic","RT @krassenstein: Just a friendly reminder... People with pre-existing mental health conditions have access to firearms but not healthcare.","en"
"36","Tue Feb 13 13:05:06 +0000 2018","USACarryAA","Shooting A Fidget Spinner!? <U+0096> A New Way To Spin | Trick Shots <U+0096> #gunreviews https://t.co/bQnW8RKL03","en"
"37","Tue Feb 13 13:05:06 +0000 2018","USACarryCC","Why I Said No To America<U+0092>s Got Talent <U+0096> #gunreviews https://t.co/MY0rJ2xNdK","en"
"38","Tue Feb 13 13:06:26 +0000 2018","erica_ivack","RT @krassenstein: Just a friendly reminder... People with pre-existing mental health conditions have access to firearms but not healthcare.","en"
"39","Tue Feb 13 13:10:07 +0000 2018","BravoTacB","Canik CZ75 clones from TriStar <U+0096> #gunreviews https://t.co/T0Ov4dlcfJ","en"
"40","Tue Feb 13 13:10:37 +0000 2018","TalkLikeJarJar","@CNET Uhhhh... What about like a Gungan? #gungan #starwars","en"
"41","Tue Feb 13 13:11:31 +0000 2018","CTruth1965","RT @WalshFreedom: As an American, I shouldn't have to prove I have a NEED to carry a firearm. 

I have a RIGHT to carry, whether I have a n…","en"
"42","Tue Feb 13 13:15:57 +0000 2018","pithypacky","RT @ManInTheHoody: I hope Donald Trump Jr.'s wife, Vanessa Trump, is okay.

Is now a good time to talk about gun control?

I mean, this has…","en"
"43","Tue Feb 13 13:16:00 +0000 2018","TheSilentLOUD","RT @2ANow: US pushes for home countries to take back jihadis 
Terrorists &amp; Refugees Need To Go Home
https://t.co/aYr6XzEa0k #2ANow","en"
"44","Tue Feb 13 13:25:47 +0000 2018","deanalackey","RT @krassenstein: Just a friendly reminder... People with pre-existing mental health conditions have access to firearms but not healthcare.","en"
"45","Tue Feb 13 13:33:46 +0000 2018","1ShadyPete","RT @Deplorable80210: #Qanon #2AmericanRevolution #DarkStateCoup #DarkStateSting #TheStorm #2SpecialCounsel 

#PATRIOTS TIME TO ""KICK"" SOME…","en"
"46","Tue Feb 13 13:35:06 +0000 2018","TacReviewC","AK-47 Signature Series <U+0096> <U+0093>Kalash Me Outside<U+0094> | Kirsten Joy Weiss <U+0096> #gunreviews https://t.co/LZLV33stUs","en"
"47","Tue Feb 13 13:42:34 +0000 2018","jrw1291950","RT @irishrygirl: Since we are talking about domestic abuse let’s talk about gun violence. Nearly one million women in the US have been shot…","en"
"48","Tue Feb 13 13:43:19 +0000 2018","MarkKin53143947","I just entered to win a Steyr Aug A3 #rifle from @ClassicFirearm #gungiveaway #winagun #steyr #aug #dreamgun… https://t.co/l2FnZI6dXp","en"
"49","Tue Feb 13 13:46:39 +0000 2018","ritalopes831","RT @MillenPolitics: Her son was killed over “loud music”, &amp; she’s been on the front lines of the gun control debate as an outspoken activis…","en"
"50","Tue Feb 13 13:49:20 +0000 2018","hootinani","RT @MikeLevinCA: We need to collectively stand against concealed carry reciprocity and stand up for gun violence prevention.  The weakest g…","en"
"51","Tue Feb 13 13:54:59 +0000 2018","stompk","Lack of false flags using AR-15s seems to be hurting the gun industry.
Everytime a mass shooting with gun happened,… https://t.co/2Ge7RO5rcD","en"
"52","Tue Feb 13 13:55:13 +0000 2018","kimberly_oy","RT @krassenstein: Just a friendly reminder... People with pre-existing mental health conditions have access to firearms but not healthcare.","en"
"53","Tue Feb 13 14:14:31 +0000 2018","artkincell","@DrummerDayna There are few phrases that can be tied together- it involves firearms, HIS man parts, and a target. I think I kept it legal.","en"
"54","Tue Feb 13 14:27:57 +0000 2018","sofuckingaware","RT @Deplorable80210: #Qanon #2AmericanRevolution #DarkStateCoup #BotchedFalseFlag
#DarkState #CoverUp  

AND, THE STORY CHANGES ""YET"" AGAIN…","en"
"55","Tue Feb 13 14:30:08 +0000 2018","amybwang","The man accused of shooting two Ohio police officers had been barred from owning firearms — but paid a friend to bu… https://t.co/C7x7h2p5QD","en"
"56","Tue Feb 13 14:35:06 +0000 2018","AR15TacA","Benelli M1014 Military only 12 gauge tactical shotgun with collapsible stock! (4K) <U+0096> #gunreviews https://t.co/rcxO6cFu1y","en"
"57","Tue Feb 13 14:38:05 +0000 2018","CryptoWaller","I just entered to win a Steyr Aug A3 #rifle from @ClassicFirearm #gungiveaway #winagun #steyr #aug #dreamgun… https://t.co/shU8JHFgeo","en"
"58","Tue Feb 13 14:42:48 +0000 2018","MagaFlagMan","@aljwhite @PrisonPlanet I hope the second amendment will apply to EMP sidearms.","en"
