"","Datetime","ID","Text","Language"
"1","Wed Feb 28 07:30:21 +0000 2018","NoAngel815","RT @AAlhanti: Just a reminder that gun violence affects every country, race, gender, religion, and political party. This is an issue that a…","en"
"2","Wed Feb 28 07:30:42 +0000 2018","Mean_Sulroney","RT @thehill: St. Louis high school bars students from returning to class after gun control walkout https://t.co/hx45exhubU https://t.co/TwD…","en"
"3","Wed Feb 28 07:30:43 +0000 2018","REBEL_TVP","RT @AwestruckVox: OK KO straight up did an episode about gun control and they really did not try to be subtle at all. The timing couldn't h…","en"
"4","Wed Feb 28 07:31:02 +0000 2018","SheilaBran","RT @KamalaHarris: It is long past due for Congress to have the courage to pass reasonable gun safety laws. This is not a question of right…","en"
"5","Wed Feb 28 07:40:06 +0000 2018","z_paul7","RT @AwestruckVox: OK KO straight up did an episode about gun control and they really did not try to be subtle at all. The timing couldn't h…","en"
"6","Wed Feb 28 07:41:05 +0000 2018","Si_Margolis","RT @allymutnick: “How many Jews were put in the ovens because they were unarmed?” - @DonYoungAK when asked about gun control at recent even…","en"
"7","Wed Feb 28 07:41:29 +0000 2018","mistergrizzz","Just when we thought there weren't enough people carrying #guns in the US of A  #banguns    https://t.co/2aWGT0rSf3","en"
"8","Wed Feb 28 07:44:17 +0000 2018","hereitcomesagin","""Progressives torch DCCC over gun control, single-payer""  https://t.co/9kr4WyEmmb","en"
"9","Wed Feb 28 07:47:23 +0000 2018","Deplorable_Didi","RT @KgdlBrown97: Now is NOT the time to be COMPLACENT!  There are SO many distractions around us, the attack on our #2A, the #FalseFlags, S…","en"
"10","Wed Feb 28 07:48:46 +0000 2018","4everageekgirl","RT @EdKrassen: After Bill Clinton implemented an assault weapons ban in 1994, deaths due to mass shootings fell by 43%.  Then after the GOP…","en"
"11","Wed Feb 28 07:50:08 +0000 2018","DeeDaniels_17","RT @AwestruckVox: OK KO straight up did an episode about gun control and they really did not try to be subtle at all. The timing couldn't h…","en"
"12","Wed Feb 28 07:50:36 +0000 2018","notkristinj","RT @ElisaMichaels: Keep in mind that the #NRA and #GUNS are just a frantic DISTRACTION to keep the cauldron boiling. #Democrats HAVE NO MES…","en"
"13","Wed Feb 28 07:54:11 +0000 2018","bunnyrun1021","@KyleKashuv Bet they are #NRA members","en"
"14","Wed Feb 28 07:54:32 +0000 2018","public_cointel","RT @adamjohnsonNYC: guys let Erickson go after Hogg, he’s an expert on mass shootings, remember when he correctly pinned the Breivik attack…","en"
"15","Wed Feb 28 08:02:02 +0000 2018","lydcat101","RT @mistachrish: The only three people I’ll ever trust with a firearm https://t.co/rZopqakfPK","en"
"16","Wed Feb 28 08:03:08 +0000 2018","PascoRevolution","OpenSecretsDC: With money going to things like “legislative programs,” and “public affairs,” the #NRA may be spendi… https://t.co/QslroM1bNA","en"
